Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,35,2,14,2.4,4.1,0.579,0,0,,2.4,4.1,0.579,0.579,1.3,2.3,0.543,1.3,2.7,4,0.6,0.4,0.5,0.9,1.7,6.1
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,,0,0.4,0.4,0.3,0,0,0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,33,33,27.8,3.5,5.7,0.615,0,0,0,3.5,5.6,0.618,0.615,1.1,2.4,0.443,4,4.9,8.9,2.1,0.9,0.6,1.5,1.9,8
4,Bam Adebayo\adebaba01,C,23,MIA,33,33,33.9,7.2,12.7,0.563,0.1,0.2,0.333,7.1,12.5,0.567,0.566,4.8,5.7,0.847,2.2,7.3,9.5,5.4,0.9,1,3,2.4,19.2
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1,1.7,13.7
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,0,2.7,0,1,0,0,0.3,0,0,0.7,0,0,0,0,,0,0.3,0.3,0.3,0,0,0,0.3,0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,28,3,17.7,3.1,7.5,0.408,1.1,3.5,0.306,2,4,0.496,0.479,1,1.3,0.8,0.2,2.2,2.4,1.9,1,0.3,1.1,1.6,8.2
8,Grayson Allen\allengr01,SG,25,MEM,23,12,24,2.9,7.1,0.409,2,4.9,0.407,0.9,2.2,0.412,0.549,1.5,1.7,0.895,0.3,2.5,2.8,2.2,1,0.1,0.9,1.3,9.3
9,Jarrett Allen\allenja01,C,22,TOT,35,17,27.9,4.9,7.3,0.669,0.1,0.2,0.5,4.8,7.1,0.675,0.677,3.5,4.7,0.741,3.2,6.7,9.9,1.7,0.5,1.7,1.5,1.6,13.5
9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0,0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen\allenja01,C,22,CLE,23,12,28.6,5.6,8.3,0.667,0.2,0.3,0.5,5.4,8,0.674,0.677,3.3,4.6,0.733,3.2,6.4,9.6,1.7,0.4,1.7,1.4,1.5,14.7
10,Al-Farouq Aminu\aminual01,PF,30,ORL,9,6,18.1,1.9,4.8,0.395,0.7,1.7,0.4,1.2,3.1,0.393,0.465,0.8,1,0.778,1,3.1,4.1,1.7,0.9,0.6,1.1,1,5.2
11,Kyle Anderson\anderky01,PF,27,MEM,30,30,27.6,4.9,10.2,0.477,1.5,4,0.38,3.3,6.2,0.541,0.552,2.1,2.8,0.762,0.9,5.2,6.1,3.5,1.2,0.7,1.5,1.8,13.4
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,35,35,34,10.5,18.9,0.557,1.1,3.9,0.285,9.4,15,0.628,0.586,6.9,10.4,0.661,1.8,9.8,11.7,5.9,1.3,1.4,3.7,3,29
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,3,0,6.3,0.3,1,0.333,0,0,,0.3,1,0.333,0.333,0.3,0.7,0.5,0.7,2,2.7,0,0.3,0.7,1.7,1,1
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,26,0,8.7,1,1.7,0.605,0.1,0.3,0.222,0.9,1.3,0.706,0.628,0.2,0.5,0.462,1,1.1,2.1,0.7,0.3,0.2,0.7,1.3,2.3
15,Carmelo Anthony\anthoca01,PF,36,POR,34,3,25.6,4.9,11.8,0.413,1.8,4.6,0.387,3.1,7.3,0.429,0.488,2.4,2.8,0.842,0.6,2.8,3.3,1.5,0.9,0.8,1,2.1,13.9
16,Cole Anthony\anthoco01,PG,20,ORL,25,17,26.7,4,10.8,0.375,1.1,3.3,0.325,3,7.4,0.398,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2,2,11
17,OG Anunoby\anunoog01,SF,23,TOR,23,23,33.4,5,10.3,0.479,2.1,5.4,0.395,2.8,5,0.57,0.582,1.7,2.3,0.755,1.4,4.3,5.7,1.7,1.6,0.7,1.7,2.8,13.8
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,18,0,11,1.2,2.8,0.42,0.6,1.8,0.344,0.6,1,0.556,0.53,0.4,0.5,0.889,0.1,1.7,1.8,1.3,0.3,0,0.2,0.9,3.4
19,D.J. Augustin\augusdj01,PG,33,MIL,34,6,19.5,1.9,5.4,0.35,1.3,3.6,0.366,0.6,1.8,0.317,0.473,1,1.1,0.897,0.3,1,1.4,3,0.6,0,0.9,0.8,6.1
20,Deni Avdija\avdijde01,SF,20,WAS,30,16,21.5,2.3,5.2,0.433,1,2.9,0.356,1.2,2.3,0.529,0.532,0.4,0.6,0.579,0.4,4.2,4.7,1.3,0.7,0.2,0.8,2.5,5.9
21,Deandre Ayton\aytonde01,C,22,PHO,35,35,31.1,6.2,10.5,0.594,0.1,0.5,0.235,6.1,10,0.611,0.599,1.9,2.5,0.75,3.4,8.1,11.4,1.7,0.3,1.1,1.7,3.1,14.5
22,Udoka Azubuike\azubuud01,C,21,UTA,12,0,4.1,0.3,0.6,0.571,0,0,,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0,0.1,0.3,0.3,0.7,1
23,Dwayne Bacon\bacondw01,SG,25,ORL,36,23,24.6,3.8,9.1,0.413,0.9,2.8,0.333,2.8,6.3,0.449,0.465,1.6,1.9,0.826,0.3,2.5,2.9,1,0.6,0.1,0.7,1.6,10.1
24,Marvin Bagley III\baglema01,PF,21,SAC,34,34,26.1,5.7,11.5,0.5,1,2.7,0.37,4.7,8.8,0.54,0.544,1.6,3,0.529,2.4,5.1,7.6,1,0.5,0.5,1.4,2.4,14.1
25,LaMelo Ball\ballla01,PG,19,CHO,35,15,28.9,5.7,12.8,0.449,2,5.3,0.378,3.7,7.5,0.498,0.527,2.3,2.9,0.802,1.5,4.6,6,6.3,1.6,0.4,2.8,2.7,15.8
26,Lonzo Ball\balllo01,PG,23,NOP,33,33,31.8,5.3,12.4,0.428,3,7.8,0.387,2.3,4.6,0.497,0.549,0.9,1.2,0.775,0.6,3.5,4.2,5.1,1.3,0.5,2,2.2,14.5
27,Mo Bamba\bambamo01,C,22,ORL,17,0,9.5,2.1,3.9,0.522,0.4,1.1,0.368,1.6,2.8,0.583,0.575,0.2,0.4,0.667,1.1,2.7,3.8,0.2,0.2,0.8,0.4,1.2,4.8
28,Desmond Bane\banede01,SG,22,MEM,28,6,22.8,3.6,7.5,0.478,1.7,3.8,0.443,1.9,3.7,0.515,0.591,0.8,0.9,0.875,0.4,2.4,2.9,1.4,0.7,0.1,1,1.9,9.6
29,Harrison Barnes\barneha02,PF,28,SAC,33,33,35.7,5.6,11.3,0.492,1.7,4.3,0.392,3.9,7,0.554,0.567,3.9,4.7,0.826,1,5.1,6.1,3.6,0.8,0.2,1.4,1.3,16.7
30,RJ Barrett\barrerj01,SG,20,NYK,37,37,33.2,6.3,14.2,0.443,1.2,3.3,0.35,5.1,10.9,0.471,0.484,2.8,3.8,0.73,1.2,4.8,6,2.9,0.6,0.2,1.9,2.6,16.5
31,Will Barton\bartowi01,SF,30,DEN,33,29,29.9,4.5,10.2,0.442,1.5,3.9,0.388,3,6.2,0.476,0.516,1.1,1.5,0.755,0.6,3.5,4.1,3.1,0.8,0.4,1.7,1.6,11.6
32,Keita Bates-Diop\bateske01,SF,25,SAS,13,0,8.2,0.8,2.4,0.355,0.4,1.1,0.357,0.5,1.3,0.353,0.435,0.5,0.6,0.875,0.4,1.1,1.5,0.5,0.5,0.1,0.1,0.4,2.6
33,Nicolas Batum\batumni01,SF,32,LAC,35,35,29.5,3.1,6.5,0.472,1.9,4.4,0.439,1.1,2.1,0.541,0.62,0.9,1,0.833,0.9,3.9,4.8,2.4,1.2,0.4,0.7,1.7,9
34,Aron Baynes\baynear01,C,34,TOR,33,26,19.7,2.7,6.1,0.44,0.5,2.1,0.243,2.2,3.9,0.546,0.483,0.5,0.6,0.75,1.6,3.8,5.4,1.1,0.3,0.3,0.9,2.4,6.3
35,Kent Bazemore\bazemke01,SF,31,GSW,35,1,16.8,2.4,5,0.48,1.1,2.5,0.438,1.3,2.5,0.523,0.591,0.7,0.9,0.75,0.4,2.6,3,1.6,0.9,0.5,1.1,2.2,6.6
36,Darius Bazley\bazleda01,PF,20,OKC,36,36,30.7,4.4,11.2,0.392,1.5,5.2,0.29,2.9,6,0.479,0.459,1.6,2.3,0.704,0.6,6.9,7.5,1.5,0.5,0.6,1.8,0.9,11.9
37,Bradley Beal\bealbr01,SG,27,WAS,32,32,35.7,11.5,23.9,0.482,2.3,6.9,0.335,9.2,17,0.541,0.53,7.6,8.4,0.903,1.3,4.1,5.4,4.7,1.4,0.4,3.3,2.6,32.9
38,Malik Beasley\beaslma01,SG,24,MIN,33,32,33.1,7.6,16.7,0.455,3.5,8.7,0.406,4.1,8,0.508,0.56,1.8,2.2,0.847,0.8,3.8,4.6,2.5,0.8,0.2,1.6,1.6,20.5
39,Jordan Bell\belljo01,C,26,WAS,3,1,16.7,1.7,5,0.333,0,0.7,0,1.7,4.3,0.385,0.333,0,0,,1.7,3.7,5.3,1.7,0.3,1,1,1.3,3.3
40,DeAndre' Bembry\bembrde01,SF,26,TOR,27,5,16.4,1.8,3.2,0.57,0.3,0.8,0.364,1.5,2.4,0.641,0.616,0.5,0.7,0.7,0.4,1.6,2,2,0.6,0.3,1,1.6,4.4
41,Dāvis Bertāns\bertada01,PF,28,WAS,30,3,26.1,3.3,8.6,0.388,2.9,7.6,0.384,0.4,1,0.414,0.558,1.9,2.3,0.853,0.5,2.7,3.1,0.9,0.6,0.2,0.6,2.5,11.5
42,Patrick Beverley\beverpa01,PG,32,LAC,28,28,24.2,2.8,6.3,0.446,1.8,4.1,0.422,1.1,2.2,0.492,0.585,1.1,1.4,0.795,1,2.9,3.8,2.1,0.9,0.8,1,3.2,8.5
43,Saddiq Bey\beysa01,SF,21,DET,34,17,22.9,3.2,7.8,0.409,2.1,5.4,0.393,1.1,2.4,0.444,0.545,1.4,1.6,0.857,0.5,3.4,3.9,1.1,0.6,0,0.7,1.6,9.9
44,Tyler Bey\beyty01,SF,22,DAL,4,0,3.3,0.5,1.3,0.4,0,0,,0.5,1.3,0.4,0.4,0.5,1,0.5,0.5,0.3,0.8,0,0,0.3,0,0.5,1.5
45,Khem Birch\birchkh01,C,28,ORL,35,1,20.1,2.2,4.4,0.497,0.1,0.4,0.308,2.1,4,0.514,0.51,1.5,2,0.739,2.6,2.8,5.3,1.1,0.6,0.7,0.5,1.5,5.9
46,Goga Bitadze\bitadgo01,C,21,IND,16,0,9.3,1.5,2.9,0.511,0.1,0.9,0.133,1.4,2,0.688,0.532,0.6,0.8,0.769,0.7,1.3,2,0.3,0.2,0.9,0.5,1.6,3.8
47,Bismack Biyombo\biyombi01,C,28,CHO,33,19,22.3,2.4,4.2,0.569,0,0,0,2.4,4.1,0.574,0.569,0.9,1.8,0.483,2.2,3.4,5.6,1.5,0.3,1.2,0.9,2.5,5.6
48,Nemanja Bjelica\bjeline01,PF,32,SAC,19,1,18,3.1,6.3,0.483,0.8,2.4,0.333,2.3,3.9,0.573,0.546,1.6,2,0.789,1.1,3.2,4.2,2.2,0.3,0.1,1.3,1.9,8.5
49,Eric Bledsoe\bledser01,SG,31,NOP,35,34,29.7,4.5,10.4,0.435,2,5.1,0.385,2.5,5.3,0.484,0.53,1.6,2.3,0.679,0.5,3.1,3.5,3.8,0.8,0.3,1.6,1.5,12.6
50,Keljin Blevins\blevike01,SF,25,POR,9,0,5.2,0.2,1.2,0.182,0,0.4,0,0.2,0.8,0.286,0.182,0,0,,0,0.2,0.2,0.4,0.2,0,0.3,0.4,0.4
51,Bogdan Bogdanović\bogdabo01,SG,28,ATL,11,2,22.6,3.2,8.3,0.385,2.1,6.1,0.343,1.1,2.2,0.5,0.511,0.9,1,0.909,0.2,3.3,3.5,2.2,0.4,0.2,1.2,1.9,9.4
52,Bojan Bogdanović\bogdabo02,SF,31,UTA,36,36,30.6,5.2,12.1,0.432,2.7,6.7,0.405,2.5,5.4,0.466,0.545,2.6,3,0.852,0.5,3.4,3.9,1.9,0.5,0.1,1.4,1.6,15.7
53,Bol Bol\bolbo01,PF,21,DEN,15,2,5.6,0.7,1.5,0.5,0.3,0.7,0.5,0.4,0.8,0.5,0.614,0.1,0.1,0.5,0,0.7,0.7,0.3,0.1,0.3,0.5,0.6,1.9
54,Marques Bolden\boldema01,C,22,CLE,6,0,4.8,0.2,0.5,0.333,0,0,,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1,0,0.3,0.3,0.3,0,1.2
55,Jordan Bone\bonejo01,PG,23,ORL,14,0,14,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0,0,,0.3,1.4,1.7,1.3,0.1,0,0.2,0.8,4
56,Isaac Bonga\bongais01,SF,21,WAS,22,7,12.3,0.8,2,0.378,0.5,1.3,0.345,0.3,0.7,0.438,0.489,0.1,0.2,0.75,0.4,1.6,2,0.6,0.3,0.2,0.4,1.5,2.1
57,Devin Booker\bookede01,SG,24,PHO,31,31,33.9,9.2,18.5,0.496,2,5.6,0.362,7.1,12.9,0.554,0.551,4.5,5.4,0.839,0.2,3.5,3.6,4.4,0.9,0.3,3.3,3,24.9
58,Chris Boucher\bouchch01,C,28,TOR,36,2,23.6,4.8,8.9,0.534,1.7,3.8,0.445,3.1,5.1,0.6,0.629,2.4,3.1,0.759,1.9,4.6,6.5,1,0.6,1.9,0.7,2.7,13.6
59,Brian Bowen\bowenbr02,SF,22,IND,1,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,1,1,1,0,1,1,0,0,0,0,0,3
60,Avery Bradley\bradlav01,SG,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
61,Tony Bradley\bradlto01,C,23,PHI,12,1,10.6,1.8,3.3,0.564,0,0.1,0,1.8,3.2,0.579,0.564,0.3,0.4,0.6,1.8,2.4,4.2,0.5,0.3,0.6,0.1,0.9,3.9
62,Jarrell Brantley\brantja01,PF,24,UTA,10,0,2.8,0.4,1,0.4,0.3,0.7,0.429,0.1,0.3,0.333,0.55,0,0,,0.2,0.5,0.7,0,0.1,0.1,0.1,0.4,1.1
63,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,0,1.8,0,0.3,0,0,0,,0,0.3,0,0,0.5,0.5,1,0.3,0.3,0.5,0.3,0,0,0.3,0,0.5
64,Mikal Bridges\bridgmi01,SF,24,PHO,35,35,32.3,4.9,9.4,0.524,1.9,4.5,0.42,3,4.9,0.62,0.625,2,2.3,0.841,1.3,3.7,5.1,2.2,0.7,0.9,0.8,1.6,13.7
65,Miles Bridges\bridgmi02,PF,22,CHO,35,2,26.8,3.8,7.7,0.491,1.3,3.4,0.383,2.5,4.3,0.577,0.576,1.2,1.3,0.932,1.3,4.4,5.7,2.1,0.7,0.7,1.7,2.4,10
66,Malcolm Brogdon\brogdma01,PG,28,IND,34,34,35.6,8.1,18.1,0.447,2.4,6.4,0.378,5.7,11.8,0.485,0.514,2.6,2.9,0.897,0.8,3.9,4.6,6.2,1.2,0.2,2.1,1.9,21.2
67,Dillon Brooks\brookdi01,SF,25,MEM,29,29,29.2,6.1,15.3,0.396,1.9,5.8,0.32,4.2,9.5,0.444,0.457,1.9,2.3,0.833,1,2.2,3.1,2.6,1.4,0.5,2,3.3,15.9
68,Bruce Brown\brownbr01,PG,24,BRK,33,20,21.2,3.6,6.1,0.59,0.3,1,0.273,3.3,5.1,0.653,0.613,1.2,1.6,0.717,1.5,3.1,4.7,1.4,0.8,0.3,0.8,2.1,8.6
69,Jaylen Brown\brownja02,SG,24,BOS,33,33,33.8,9.2,18.7,0.495,2.3,5.9,0.388,6.9,12.7,0.545,0.557,3.9,5.1,0.772,1.1,4.5,5.6,3.9,1.1,0.5,2.8,2.9,24.7
70,Moses Brown\brownmo01,C,21,OKC,7,0,4.4,1,1.4,0.7,0,0,,1,1.4,0.7,0.7,1,2,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3
71,Sterling Brown\brownst02,SG,25,HOU,32,2,22.3,2.7,6.1,0.439,1.6,4,0.402,1.1,2.2,0.507,0.569,0.4,0.5,0.933,0.7,3.5,4.2,1.7,1,0.2,0.8,2,7.4
72,Troy Brown Jr.\browntr01,SF,21,WAS,17,0,13.6,1.5,4.2,0.366,0.6,2.2,0.289,0.9,1.9,0.455,0.444,0.4,0.7,0.583,0.5,2.5,3,0.8,0.1,0.1,0.7,1.5,4.1
73,Jalen Brunson\brunsja01,PG,24,DAL,30,7,24.9,4.6,8.7,0.531,1.3,3.2,0.402,3.3,5.5,0.606,0.605,2.1,2.5,0.853,0.2,3.3,3.5,3.4,0.5,0,1.3,1.5,12.7
74,Thomas Bryant\bryanth01,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5,7,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
75,Reggie Bullock\bullore01,SF,29,NYK,32,32,26.3,3.1,7.6,0.406,1.7,4.6,0.372,1.4,3,0.458,0.518,0.6,0.8,0.833,0.3,3.1,3.4,1.3,0.6,0.2,0.7,2.2,8.5
76,Trey Burke\burketr01,PG,28,DAL,33,0,16.3,2.8,6.2,0.449,1.2,3.2,0.394,1.5,3.1,0.505,0.549,0.8,0.9,0.871,0.1,0.9,1,1.6,0.7,0.1,0.6,1.2,7.6
77,Alec Burks\burksal01,SG,29,NYK,25,3,24.7,3.7,9.1,0.405,1.9,4.7,0.402,1.8,4.4,0.409,0.509,1.9,2.2,0.839,0.5,3.8,4.3,2,0.7,0.2,1.1,1.9,11.1
78,Jimmy Butler\butleji01,SF,31,MIA,22,22,33.1,6.5,14.3,0.454,0.4,1.5,0.235,6.1,12.8,0.48,0.467,7.2,8.3,0.863,2,5.5,7.5,7.8,1.9,0.4,2.3,1.2,20.5
79,Bruno Caboclo\cabocbr01,PF,25,HOU,6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8
80,Devontae Cacok\cacokde01,PF,24,LAL,4,0,4.3,1,1,1,0,0,,1,1,1,1,0,0.5,0,0.3,1,1.3,0,0.5,0,0.5,0,2
81,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,33,33,26.2,3,6.8,0.438,1.5,3.8,0.402,1.4,2.9,0.485,0.551,1.2,1.4,0.848,0.5,1.9,2.4,1.4,0.8,0.3,1,1.7,8.7
82,Facundo Campazzo\campafa01,PG,29,DEN,30,1,16.3,1.7,4.2,0.405,1.1,2.9,0.379,0.6,1.3,0.462,0.536,1,1.2,0.811,0.2,0.9,1,2.1,1,0.2,0.8,1.9,5.5
83,Vlatko Čančar\cancavl01,PF,23,DEN,20,0,6.1,0.6,1.4,0.393,0.2,0.7,0.214,0.4,0.7,0.571,0.446,0.3,0.3,0.833,0.2,1.2,1.4,0.3,0.4,0.1,0.5,0.6,1.5
84,Clint Capela\capelca01,C,26,ATL,32,32,29.7,6.5,11,0.589,0,0,,6.5,11,0.589,0.589,1.7,3.1,0.55,5,9.2,14.2,0.9,0.8,2.2,1.4,2.3,14.7
85,Vernon Carey Jr.\careyve01,C,19,CHO,3,0,2,0.3,1,0.333,0,0.3,0,0.3,0.7,0.5,0.333,0.3,0.7,0.5,0.7,0.3,1,0.3,0,0.3,0,0,1
86,Jevon Carter\carteje01,PG,25,PHO,29,0,10,1,2.9,0.357,0.6,2,0.298,0.4,0.9,0.481,0.458,0.1,0.1,1,0.1,1.2,1.3,1.2,0.4,0.2,0.2,1.1,2.7
87,Wendell Carter Jr.\cartewe01,C,21,CHI,23,23,26.9,4.6,8.6,0.535,0.3,0.9,0.35,4.3,7.7,0.556,0.553,2.7,3.7,0.733,2.1,5.7,7.8,2.3,0.7,0.8,1.9,3.2,12.3
88,Michael Carter-Williams\cartemi01,SG,29,ORL,17,12,26.5,3.4,8.5,0.403,0.5,1.8,0.258,2.9,6.6,0.442,0.431,1.7,2.2,0.763,1.6,3.2,4.8,4.1,0.6,0.5,1.9,2.9,9
89,Alex Caruso\carusal01,PG,26,LAL,29,0,19.9,2.1,5,0.428,1,2.4,0.4,1.2,2.6,0.453,0.524,0.6,0.8,0.696,0.6,2.2,2.8,2.4,1,0.2,1.1,1.8,5.8
90,Willie Cauley-Stein\caulewi01,C,27,DAL,31,10,17.3,2.3,3.6,0.625,0,0.2,0.167,2.2,3.4,0.651,0.629,1,1.5,0.646,1.3,3.3,4.5,0.8,0.3,0.7,0.5,2.4,5.5
91,Chris Chiozza\chiozch01,PG,25,BRK,15,0,9.1,1.1,3.1,0.362,0.6,1.5,0.391,0.5,1.6,0.333,0.457,0.7,0.9,0.769,0.2,0.9,1.1,2.4,0.3,0.3,0.7,0.7,3.5
92,Marquese Chriss\chrisma01,PF,23,GSW,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5
93,Gary Clark\clarkga01,SF,26,ORL,30,11,19.1,1.1,3.7,0.295,0.9,3.2,0.274,0.2,0.6,0.412,0.411,0.3,0.3,0.889,1,2.2,3.2,0.8,0.4,0.2,0.5,1,3.3
94,Brandon Clarke\clarkbr01,PF,24,MEM,27,16,26.9,5.2,10.1,0.515,0.6,1.7,0.326,4.6,8.4,0.553,0.542,1.3,2,0.66,1.6,4.1,5.7,1.6,1.2,0.6,0.6,1.6,12.2
95,Jordan Clarkson\clarkjo01,SG,28,UTA,36,0,26,6.6,14.7,0.447,3.2,8.6,0.37,3.4,6.2,0.554,0.555,1.6,1.7,0.967,0.9,3.1,4,2.3,0.9,0.2,1.7,1.5,17.9
96,Nicolas Claxton\claxtni01,C,21,BRK,5,0,15.2,4,5.8,0.69,0,0.2,0,4,5.6,0.714,0.69,2,2.8,0.714,0.8,2.6,3.4,1,1,1.4,0.4,1.6,10
97,Amir Coffey\coffeam01,SG,23,LAC,20,0,7.7,1.1,2,0.525,0.6,1.1,0.524,0.5,1,0.526,0.663,0.2,0.5,0.333,0.2,0.6,0.8,0.4,0.2,0,0.4,0.6,2.8
98,John Collins\collijo01,PF,23,ATL,36,36,30.7,7,13.1,0.536,1.4,3.6,0.388,5.6,9.5,0.592,0.589,2.6,3,0.853,2.1,5.5,7.6,1.4,0.4,1,1.3,3.3,18
99,Mike Conley\conlemi01,PG,33,UTA,29,29,29.4,5.6,12.5,0.444,2.8,6.6,0.422,2.8,5.9,0.468,0.555,2.2,2.6,0.829,1,2.5,3.5,5.7,1.4,0.1,1.9,1.9,16.1
100,Pat Connaughton\connapa01,SG,28,MIL,33,0,21.1,2.4,5.3,0.443,1.4,3.5,0.393,1,1.8,0.542,0.574,0.4,0.5,0.824,0.9,3.3,4.3,1.4,0.7,0.5,0.4,1.6,6.5
