Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Precious Achiuwa\achiupr01,PF,21,MIA,35,491,,,,54%,47%,-4.6,-4.5,12,12,31,7,43,6,53,7,20
2,Jaylen Adams\adamsja01,PG,24,MIL,7,18,97%,3%,,,,-38.3,-44.8,0,0,1,0,0,0,5,0,0
3,Steven Adams\adamsst01,C,27,NOP,33,918,,,,,100%,0.3,1.9,19,16,27,11,35,4,157,5,14
4,Bam Adebayo\adebaba01,C,23,MIA,33,1119,,,,51%,49%,-0.4,2.7,44,28,31,19,71,4,452,20,16
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,544,,,,3%,98%,-6.5,-10.2,9,3,26,6,18,0,90,2,7
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,8,,,100%,,,-60.0,-67.0,0,0,0,0,0,0,2,0,0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,28,495,3%,80%,17%,,,-3.5,-4.1,20,6,24,2,17,3,123,6,11
8,Grayson Allen\allengr01,SG,25,MEM,23,551,3%,84%,13%,,,2.7,2.5,15,2,15,2,9,5,116,1,10
9,Jarrett Allen\allenja01,C,22,TOT,35,977,,,,9%,91%,-0.7,0.2,23,14,40,8,72,9,146,18,20
9,Jarrett Allen\allenja01,C,22,BRK,12,320,,,,,100%,10.5,6.4,10,5,13,5,31,3,49,9,6
9,Jarrett Allen\allenja01,C,22,CLE,23,657,,,,13%,87%,-6.4,1.4,13,9,27,3,41,6,97,9,14
10,Al-Farouq Aminu\aminual01,PF,30,ORL,9,163,,,,100%,,-18.3,-13.2,5,2,3,1,6,0,36,3,2
11,Kyle Anderson\anderky01,PF,27,MEM,30,829,,,,72%,28%,2.0,1.9,25,10,29,5,39,3,238,8,17
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,35,1189,,,2%,91%,7%,8.8,9.3,44,30,33,29,186,4,539,47,37
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,3,19,,,,,100%,-6.8,-11.9,1,1,1,1,1,0,0,0,2
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,26,227,,8%,68%,24%,,-6.0,-13.8,6,5,15,5,5,7,46,1,0
15,Carmelo Anthony\anthoca01,PF,36,POR,34,870,,,,74%,26%,-5.3,-10.0,9,8,30,17,41,2,125,7,11
16,Cole Anthony\anthoco01,PG,20,ORL,25,667,92%,8%,,,,-7.3,-1.6,29,17,21,4,22,8,226,5,25
17,OG Anunoby\anunoog01,SF,23,TOR,23,769,,1%,64%,34%,1%,3.6,4.0,12,10,30,10,21,4,97,4,16
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,18,198,100%,,,,,10.3,11.9,2,1,9,1,5,10,53,3,0
19,D.J. Augustin\augusdj01,PG,33,MIL,34,664,100%,,,,,4.9,-1.8,16,9,8,2,10,6,242,2,15
20,Deni Avdija\avdijde01,SF,20,WAS,30,646,,1%,79%,20%,,-2.3,3.4,12,5,46,2,7,2,89,2,6
21,Deandre Ayton\aytonde01,C,22,PHO,35,1088,,,,17%,83%,4.8,-5.2,8,25,71,17,50,1,143,17,25
22,Udoka Azubuike\azubuud01,C,21,UTA,12,49,,,,,100%,-54.8,-65.5,1,0,6,1,3,0,0,0,1
23,Dwayne Bacon\bacondw01,SG,25,ORL,36,886,1%,52%,47%,,,-10.8,-9.2,13,5,21,2,37,3,87,12,18
24,Marvin Bagley III\baglema01,PF,21,SAC,34,888,,,,64%,36%,-6.2,-1.3,7,17,46,13,52,18,82,10,36
25,LaMelo Ball\ballla01,PG,19,CHO,35,1010,69%,31%,,,,-2.7,-4.9,71,16,29,4,43,5,522,14,20
26,Lonzo Ball\balllo01,PG,23,NOP,33,1048,97%,3%,,,,1.3,4.7,44,9,28,8,18,4,381,4,11
27,Mo Bamba\bambamo01,C,22,ORL,17,161,,,,2%,98%,-5.6,0.7,1,5,17,1,4,1,10,2,5
28,Desmond Bane\banede01,SG,22,MEM,28,639,2%,44%,46%,8%,,3.3,3.7,14,5,25,2,10,1,96,5,12
29,Harrison Barnes\barneha02,PF,28,SAC,33,1179,,,49%,50%,1%,-2.9,8.3,22,19,24,4,63,9,297,16,21
30,RJ Barrett\barrerj01,SG,20,NYK,37,1227,2%,78%,20%,,,1.7,3.4,39,17,40,9,66,6,257,12,45
31,Will Barton\bartowi01,SF,30,DEN,33,986,,20%,67%,14%,,4.2,-1.6,29,19,27,4,17,5,236,6,23
32,Keita Bates-Diop\bateske01,SF,25,SAS,13,107,,23%,74%,3%,1%,-13.6,-14.8,0,0,2,0,4,0,16,0,6
33,Nicolas Batum\batumni01,SF,32,LAC,35,1031,,,10%,89%,1%,8.8,6.9,20,3,28,2,16,6,198,4,3
34,Aron Baynes\baynear01,C,34,TOR,33,649,,,,,100%,-3.8,-8.1,5,9,42,11,12,10,86,2,9
35,Kent Bazemore\bazemke01,SF,31,GSW,35,587,,29%,53%,17%,1%,9.0,12.7,21,7,34,3,14,10,133,4,8
36,Darius Bazley\bazleda01,PF,20,OKC,36,1104,,,7%,89%,4%,-8.8,-8.1,24,26,17,6,40,3,131,7,25
37,Bradley Beal\bealbr01,SG,27,WAS,32,1143,2%,85%,14%,,,-4.7,-0.9,44,44,43,9,117,9,354,35,30
38,Malik Beasley\beaslma01,SG,24,MIN,33,1093,,91%,9%,,,-5.8,8.5,17,23,26,6,35,3,196,11,23
39,Jordan Bell\belljo01,C,26,WAS,3,50,,,,59%,42%,-37.9,-34.4,1,1,3,0,0,1,12,0,2
40,DeAndre' Bembry\bembrde01,SF,26,TOR,27,443,1%,23%,73%,4%,,1.4,0.2,15,9,16,0,11,4,130,2,8
41,Dāvis Bertāns\bertada01,PF,28,WAS,30,783,,,,94%,6%,-1.2,6.3,8,4,28,6,17,7,66,5,5
42,Patrick Beverley\beverpa01,PG,32,LAC,28,678,80%,20%,,,,12.3,10.1,15,1,34,7,11,11,144,1,6
43,Saddiq Bey\beysa01,SF,21,DET,34,778,,7%,78%,15%,,-5.1,-2.2,9,2,23,3,26,2,97,4,9
44,Tyler Bey\beyty01,SF,22,DAL,4,13,,,,26%,74%,-62.1,-62.1,0,0,1,0,2,1,0,0,0
45,Khem Birch\birchkh01,C,28,ORL,35,703,,,,50%,50%,-5.8,0.9,3,8,32,5,34,5,93,6,14
46,Goga Bitadze\bitadgo01,C,21,IND,16,148,,,,,100%,1.6,1.4,1,0,14,3,5,0,10,1,2
47,Bismack Biyombo\biyombi01,C,28,CHO,33,736,,,,,100%,-5.1,-7.7,9,4,41,11,27,1,105,7,22
48,Nemanja Bjelica\bjeline01,PF,32,SAC,19,342,,,,87%,13%,-6.7,-1.4,8,7,11,6,15,0,100,5,6
49,Eric Bledsoe\bledser01,SG,31,NOP,35,1038,30%,70%,,,,-2.7,-5.4,36,9,29,6,36,11,314,7,10
50,Keljin Blevins\blevike01,SF,25,POR,9,47,17%,54%,29%,,,-5.9,-5.5,2,0,3,0,0,0,10,0,2
51,Bogdan Bogdanović\bogdabo01,SG,28,ATL,11,249,,44%,56%,,,-2.7,-3.8,6,3,7,2,3,1,60,0,2
52,Bojan Bogdanović\bogdabo02,SF,31,UTA,36,1102,,,2%,98%,,8.9,0.0,18,21,21,5,39,6,181,6,24
53,Bol Bol\bolbo01,PF,21,DEN,15,84,,,,66%,34%,-23.1,-29.6,1,4,5,0,0,0,10,0,0
54,Marques Bolden\boldema01,C,22,CLE,6,29,,,,85%,15%,8.9,16.4,0,1,0,0,0,0,0,0,0
55,Jordan Bone\bonejo01,PG,23,ORL,14,196,100%,,,,,-15.8,-10.6,2,0,2,0,0,2,44,0,0
56,Isaac Bonga\bongais01,SF,21,WAS,22,271,,1%,64%,35%,,-0.8,4.4,5,1,17,1,2,3,29,2,0
57,Devin Booker\bookede01,SG,24,PHO,31,1050,1%,92%,7%,,,7.0,0.7,50,21,37,17,80,8,340,23,23
58,Chris Boucher\bouchch01,C,28,TOR,36,851,,,,11%,89%,5.9,8.9,9,6,63,4,56,8,88,11,22
59,Brian Bowen\bowenbr02,SF,22,IND,1,5,,,100%,,,-68.2,-68.7,0,0,0,0,1,0,0,1,0
60,Avery Bradley\bradlav01,SG,30,MIA,10,211,22%,74%,4%,,,-1.7,-0.4,5,3,9,1,4,1,32,1,4
61,Tony Bradley\bradlto01,C,23,PHI,12,127,,,,17%,83%,-1.3,-5.4,1,0,9,0,2,0,12,1,5
62,Jarrell Brantley\brantja01,PF,24,UTA,10,28,,4%,66%,31%,,-15.9,-25.1,1,0,4,0,0,0,0,0,0
63,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,7,,,46%,54%,,-52.7,-53.6,0,1,0,0,1,0,2,0,0
64,Mikal Bridges\bridgmi01,SF,24,PHO,35,1131,,10%,86%,4%,,6.6,-0.3,14,9,24,2,36,8,188,9,14
65,Miles Bridges\bridgmi02,PF,22,CHO,35,937,,,,94%,6%,1.4,4.9,26,12,44,7,20,5,181,6,14
66,Malcolm Brogdon\brogdma01,PG,28,IND,34,1211,52%,43%,6%,,,-0.4,-2.4,43,18,24,5,41,4,509,14,50
67,Dillon Brooks\brookdi01,SF,25,MEM,29,846,,22%,73%,5%,,2.4,3.0,30,15,39,6,32,6,171,8,19
68,Bruce Brown\brownbr01,PG,24,BRK,33,698,40%,60%,,,,4.8,-0.8,12,11,34,0,28,0,124,5,16
69,Jaylen Brown\brownja02,SG,24,BOS,33,1115,1%,57%,40%,3%,,1.2,2.4,29,39,27,14,73,5,306,20,32
70,Moses Brown\brownmo01,C,21,OKC,7,31,,,,,100%,-17.6,-12.1,0,0,1,1,4,0,6,0,1
71,Sterling Brown\brownst02,SG,25,HOU,32,713,7%,43%,47%,2%,,-4.6,1.4,15,6,40,2,7,0,135,3,12
72,Troy Brown Jr.\browntr01,SF,21,WAS,17,231,,23%,65%,12%,,-10.1,-6.6,4,4,10,3,6,2,32,2,3
73,Jalen Brunson\brunsja01,PG,24,DAL,30,748,71%,29%,,,,-1.0,-0.9,26,7,15,4,27,15,253,5,6
74,Thomas Bryant\bryanth01,C,23,WAS,10,271,,,,,100%,-3.3,1.4,2,4,18,4,16,3,35,10,2
75,Reggie Bullock\bullore01,SF,29,NYK,32,841,,4%,94%,2%,,0.1,-1.0,13,6,41,2,7,2,96,0,8
76,Trey Burke\burketr01,PG,28,DAL,33,537,98%,2%,,,,-2.7,-3.3,12,2,18,3,11,4,130,3,10
77,Alec Burks\burksal01,SG,29,NYK,25,617,,21%,79%,,,6.7,9.4,19,6,29,0,23,4,123,5,15
78,Jimmy Butler\butleji01,SF,31,MIA,22,729,,,62%,38%,,6.2,13.0,34,11,13,3,81,3,420,12,22
79,Bruno Caboclo\cabocbr01,PF,25,HOU,6,36,,,,33%,67%,1.3,6.8,3,0,4,0,0,1,3,0,1
80,Devontae Cacok\cacokde01,PF,24,LAL,4,17,,,,82%,18%,15.9,11.1,1,0,0,0,1,0,0,0,0
81,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,33,863,1%,18%,74%,7%,,8.4,6.7,18,9,20,2,17,15,113,3,10
82,Facundo Campazzo\campafa01,PG,29,DEN,30,488,100%,,,,,6.2,1.8,18,3,18,2,12,11,156,4,1
83,Vlatko Čančar\cancavl01,PF,23,DEN,20,122,,,54%,36%,11%,-15.5,-22.0,4,2,7,0,3,0,16,2,2
84,Clint Capela\capelca01,C,26,ATL,32,949,,,,,100%,5.2,10.0,7,13,40,14,46,1,72,10,29
85,Vernon Carey Jr.\careyve01,C,19,CHO,3,6,,,,,100%,27.3,28.1,0,0,0,0,1,0,2,0,0
86,Jevon Carter\carteje01,PG,25,PHO,29,289,25%,75%,,,,0.5,-7.5,3,1,19,0,1,3,86,0,3
87,Wendell Carter Jr.\cartewe01,C,21,CHI,23,618,,,,,100%,-7.3,-11.5,12,12,43,11,42,3,129,6,16
88,Michael Carter-Williams\cartemi01,SG,29,ORL,17,450,65%,34%,2%,,,3.8,13.8,15,9,19,5,20,17,178,8,11
89,Alex Caruso\carusal01,PG,26,LAL,29,577,99%,1%,,,,9.3,6.4,18,10,27,3,11,12,161,3,9
90,Willie Cauley-Stein\caulewi01,C,27,DAL,31,537,,,,19%,81%,5.8,9.3,10,2,49,3,22,6,57,2,8
91,Chris Chiozza\chiozch01,PG,25,BRK,15,136,100%,,,,,-3.8,-9.8,7,1,5,1,6,1,86,1,3
92,Marquese Chriss\chrisma01,PF,23,GSW,2,27,,,,9%,91%,-44.3,-45.5,1,0,1,1,2,0,5,0,1
93,Gary Clark\clarkga01,SF,26,ORL,30,572,,2%,38%,61%,,-8.0,-2.5,12,0,25,0,3,4,61,1,4
94,Brandon Clarke\clarkbr01,PF,24,MEM,27,726,,,34%,65%,1%,-1.1,-4.1,7,7,26,2,33,5,99,15,17
95,Jordan Clarkson\clarkjo01,SG,28,UTA,36,937,14%,85%,1%,,,8.0,-1.8,21,22,16,6,25,0,209,8,22
96,Nicolas Claxton\claxtni01,C,21,BRK,5,76,,,,,100%,13.0,8.0,0,2,6,0,9,1,13,4,2
97,Amir Coffey\coffeam01,SG,23,LAC,20,154,,5%,76%,19%,,-8.7,-15.8,4,3,5,0,4,1,21,1,2
98,John Collins\collijo01,PF,23,ATL,36,1104,,,,79%,21%,2.2,4.4,15,15,64,12,47,6,124,14,33
99,Mike Conley\conlemi01,PG,33,UTA,29,853,100%,,,,,14.4,10.8,33,15,13,4,30,12,416,3,12
100,Pat Connaughton\connapa01,SG,28,MIL,33,697,1%,39%,58%,2%,,9.8,6.4,6,2,29,3,8,4,110,1,11
101,Quinn Cook\cookqu01,PG,27,LAL,16,62,100%,,,,,-0.6,-5.8,1,2,1,0,2,0,12,1,2
102,Tyler Cook\cookty01,PF,23,BRK,4,17,,,,,100%,35.9,30.9,0,0,0,1,0,0,6,0,1
103,DeMarcus Cousins\couside01,C,30,HOU,25,506,,,,,100%,-4.3,1.6,19,9,40,7,25,4,148,6,13
104,Robert Covington\covinro01,PF,30,POR,33,1054,,,13%,86%,,3.9,11.7,17,2,49,10,9,7,146,0,8
105,Torrey Craig\craigto01,SF,30,MIL,17,194,,8%,58%,34%,,-11.7,-19.9,0,2,14,1,1,2,30,0,5
106,Jae Crowder\crowdja01,PF,30,PHO,32,883,,,38%,63%,,5.6,-2.3,21,0,31,6,15,8,160,2,7
107,Jarrett Culver\culveja01,SG,21,MIN,19,376,,2%,75%,23%,,-8.5,0.7,9,6,26,3,15,4,42,1,12
108,Seth Curry\curryse01,SG,30,PHI,28,836,19%,81%,,,,8.9,9.9,20,9,15,6,14,5,178,4,11
109,Stephen Curry\curryst01,PG,32,GSW,35,1194,83%,17%,,,,2.0,5.0,61,23,25,8,76,8,518,28,31
110,Anthony Davis\davisan02,PF,27,LAL,23,755,,,,88%,12%,8.9,6.8,16,17,22,6,50,3,169,13,13
111,Ed Davis\davised01,C,31,MIN,19,264,,,,,100%,-12.0,-3.5,1,0,31,5,4,1,48,0,8
112,Terence Davis\daviste02,SG,23,TOR,30,442,5%,48%,46%,1%,,5.3,5.4,13,6,18,2,9,0,82,6,11
113,DeMar DeRozan\derozde01,PF,31,SAS,29,981,,,34%,66%,,-1.7,-5.0,23,21,36,3,92,10,515,17,37
114,Hamidou Diallo\diallha01,SG,22,OKC,32,761,18%,52%,26%,4%,,-5.6,0.4,20,10,36,11,67,6,193,16,22
115,Gorgui Dieng\dienggo01,C,31,MEM,22,371,,,,,100%,-1.6,-3.5,4,6,23,7,21,2,69,3,5
116,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,64,1%,98%,1%,,,28.7,24.3,4,0,1,1,3,0,24,0,0
117,Donte DiVincenzo\divindo01,SG,24,MIL,36,960,7%,85%,8%,,,10.4,10.0,28,11,24,3,10,10,249,1,18
118,Luka Dončić\doncilu01,PG,21,DAL,32,1125,48%,47%,6%,,,1.2,5.4,93,24,32,6,107,1,693,30,28
119,Luguentz Dort\dortlu01,SG,21,OKC,35,1040,31%,68%,1%,,,-5.3,1.3,18,18,30,10,42,34,128,10,28
120,Damyean Dotson\dotsoda01,SG,26,CLE,30,565,45%,47%,8%,,,-8.8,-2.3,16,4,11,1,12,1,150,2,11
121,Devon Dotson\dotsode01,PG,21,CHI,1,10,100%,,,,,-9.1,-8.9,0,0,0,0,0,1,0,0,1
122,Sekou Doumbouya\doumbse01,PF,20,DET,32,439,,,1%,97%,2%,-11.6,-10.2,4,5,11,6,14,0,51,2,13
123,PJ Dozier\doziepj01,SG,24,DEN,21,408,2%,25%,61%,12%,,10.7,7.6,5,8,19,2,22,5,88,7,11
124,Goran Dragić\dragigo01,PG,34,MIA,22,596,64%,36%,,,,2.1,5.2,34,11,20,11,20,7,262,4,11
125,Andre Drummond\drumman01,C,27,CLE,25,722,,,,5%,95%,-7.3,0.0,40,24,28,10,67,7,142,17,50
126,Jared Dudley\dudleja01,PF,35,LAL,11,76,,,16%,62%,22%,1.3,-3.8,2,0,3,0,0,0,13,0,1
127,Kevin Durant\duranke01,PF,32,BRK,19,679,,,19%,76%,5%,11.2,9.6,36,19,20,7,53,3,235,12,18
128,Anthony Edwards\edwaran01,SG,19,MIN,36,1048,,19%,60%,21%,,-9.5,-1.2,31,23,30,5,42,1,221,8,30
129,Carsen Edwards\edwarca01,SG,22,BOS,14,147,24%,70%,6%,,,-6.6,-7.7,0,1,9,0,5,1,16,2,2
130,CJ Elleby\ellebcj01,SF,20,POR,13,105,,22%,69%,9%,,-3.9,-3.6,1,2,13,0,4,1,9,1,1
131,Wayne Ellington\ellinwa01,SG,33,DET,28,650,,95%,5%,,,-4.4,-0.9,15,3,19,0,7,3,95,2,6
132,Joel Embiid\embiijo01,C,26,PHI,30,990,,,,,100%,11.6,18.0,37,34,40,12,134,3,235,28,19
133,James Ennis\ennisja01,SF,30,ORL,24,514,,51%,47%,2%,,1.8,11.5,8,5,29,5,18,7,80,4,9
134,Drew Eubanks\eubandr01,C,23,SAS,15,180,,,,5%,95%,-8.0,-9.2,1,3,14,3,9,1,21,2,7
135,Dante Exum\exumda01,SG,25,CLE,6,116,3%,45%,52%,,,4.5,12.6,4,1,4,0,1,4,26,0,0
136,Tacko Fall\fallta01,C,25,BOS,8,57,,,,,100%,34.5,35.3,0,1,7,0,4,0,3,0,1
137,Derrick Favors\favorde01,C,29,UTA,34,550,,,,4%,97%,5.0,-5.7,10,2,58,5,24,1,80,7,13
138,Cristiano Felício\feliccr01,C,28,CHI,6,38,,,,,100%,2.8,3.1,1,1,2,1,4,1,10,0,0
139,Terrance Ferguson\fergute01,SG,22,PHI,9,34,,,59%,41%,,-18.8,-23.0,3,0,2,0,0,0,5,0,0
140,Bruno Fernando\fernabr01,C,22,ATL,18,151,,,,,100%,-2.6,-3.5,2,4,10,5,5,0,21,1,4
141,Yogi Ferrell\ferreyo01,PG,27,CLE,2,40,100%,,,,,-12.0,-4.8,1,0,1,1,1,1,11,1,2
142,Dorian Finney-Smith\finnedo01,PF,27,DAL,25,787,,,42%,58%,,1.3,3.4,10,1,26,1,7,4,84,2,9
143,Malachi Flynn\flynnma01,PG,22,TOR,15,125,100%,,,,,-12.0,-14.4,4,0,6,0,1,1,42,1,2
144,Bryn Forbes\forbebr01,SG,27,MIL,36,675,56%,44%,1%,,,-0.4,-10.4,2,2,16,8,9,0,51,3,9
145,Trent Forrest\forretr01,PG,22,UTA,7,20,100%,,,,,-32.7,-42.0,0,0,0,0,1,0,11,0,0
146,Evan Fournier\fournev01,SF,28,ORL,21,613,,3%,92%,5%,,-3.8,3.9,20,17,21,3,42,4,189,10,19
147,De'Aaron Fox\foxde01,PG,23,SAC,35,1198,98%,2%,,,,-6.9,-4.4,55,47,33,7,119,15,630,27,37
148,Tim Frazier\fraziti01,PG,30,MEM,3,33,100%,,,,,8.8,7.9,3,0,2,0,0,0,18,0,1
149,Markelle Fultz\fultzma01,PG,22,ORL,8,215,93%,6%,1%,,,-4.9,1.6,9,6,10,3,8,1,103,5,7
150,Wenyen Gabriel\gabriwe01,PF,23,NOP,4,12,,,12%,88%,,35.2,36.0,0,0,0,0,0,0,3,0,0
151,Daniel Gafford\gaffoda01,PF,22,CHI,26,343,,,,25%,75%,-2.5,-2.9,4,9,34,4,15,5,38,3,4
152,Danilo Gallinari\gallida01,PF,32,ATL,24,525,,,,53%,47%,0.8,0.3,10,8,22,4,31,2,95,4,10
153,Langston Galloway\gallola01,SG,29,PHO,25,262,21%,47%,33%,,,3.0,-4.4,5,0,6,1,8,1,39,3,0
154,Darius Garland\garlada01,PG,21,CLE,28,922,100%,,,,,-8.3,-2.2,52,14,28,7,17,11,375,3,19
155,Marc Gasol\gasolma01,C,36,LAL,35,703,,,,,100%,4.7,-0.4,22,2,44,5,16,5,161,7,5
156,Rudy Gay\gayru01,PF,34,SAS,26,572,,,5%,87%,8%,10.3,16.2,12,10,21,4,18,2,88,3,13
157,Paul George\georgpa01,SF,30,LAC,27,904,,2%,91%,7%,,12.3,12.7,53,22,20,13,49,11,375,9,10
158,Taj Gibson\gibsota01,PF,35,NYK,12,181,,,,,100%,11.9,12.6,4,1,11,2,5,2,14,0,2
159,Harry Giles\gilesha01,C,22,POR,22,260,,,,,100%,-10.2,-11.4,7,4,24,5,8,2,54,2,5
160,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,30,1020,7%,26%,67%,1%,,-6.5,-1.6,47,27,25,6,80,3,474,18,31
161,Anthony Gill\gillan01,PF,28,WAS,12,67,,,3%,92%,5%,-25.0,-21.4,0,2,1,1,1,0,8,0,0
162,Rudy Gobert\goberru01,C,28,UTA,36,1105,,,,,100%,13.8,13.5,8,19,33,17,95,3,125,23,27
163,Brandon Goodwin\goodwbr01,PG,25,ATL,24,289,100%,,,,,0.0,-0.7,6,1,7,4,6,2,106,0,8
164,Aaron Gordon\gordoaa01,PF,25,ORL,19,552,,,9%,91%,,-3.6,4.0,30,8,15,9,32,2,187,4,13
165,Eric Gordon\gordoer01,SG,32,HOU,26,763,43%,54%,3%,,,-3.8,3.0,24,13,21,8,48,0,171,10,17
166,Devonte' Graham\grahade01,PG,25,CHO,25,821,100%,,,,,3.8,8.7,26,7,14,2,22,4,343,1,11
167,Jerami Grant\grantje01,SF,26,DET,33,1194,,,47%,53%,1%,-2.4,4.6,33,16,44,9,90,15,233,13,34
168,Danny Green\greenda02,SF,33,PHI,36,1018,,,86%,14%,,5.0,3.0,26,7,33,5,7,3,141,2,8
